territory_name,ano,populacao
Acre,2011,746386
Alagoas,2011,3143384
Amapá,2011,684309
Amazonas,2011,3538387
Bahia,2011,14097534
Ceará,2011,8530155
Distrito Federal,2011,2609998
Espírito Santo,2011,3547055
Goiás,2011,6080716
Maranhão,2011,6645761
Mato Grosso,2011,3075936
Mato Grosso do Sul,2011,2477542
Minas Gerais,2011,19728701
Pará,2011,7688593
Paraíba,2011,3791315
Paraná,2011,10512349
Pernambuco,2011,8864906
Piauí,2011,3140328
Rio de Janeiro,2011,16112678
Rio Grande do Norte,2011,3198657
Rio Grande do Sul,2011,10733030
Rondônia,2011,1576455
Roraima,2011,460165
Santa Catarina,2011,6317054
São Paulo,2011,41587182
Sergipe,2011,2089819
Tocantins,2011,1400892
Acre,2012,758786
Alagoas,2012,3165472
Amapá,2012,698602
Amazonas,2012,3590985
Bahia,2012,14175341
Ceará,2012,8606005
Distrito Federal,2012,2648532
Espírito Santo,2012,3578067
Goiás,2012,6154996
Maranhão,2012,6714314
Mato Grosso,2012,3115336
Mato Grosso do Sul,2012,2500365
Minas Gerais,2012,19855332
Pará,2012,7777543
Paraíba,2012,3815171
Paraná,2012,10577755
Pernambuco,2012,8931028
Piauí,2012,3160748
Rio de Janeiro,2012,16231365
Rio Grande do Norte,2012,3228198
Rio Grande do Sul,2012,10768025
Rondônia,2012,1590011
Roraima,2012,469524
Santa Catarina,2012,6362734
São Paulo,2012,41901219
Sergipe,2012,2110867
Tocantins,2012,1417694
Acre,2013,776463
Alagoas,2013,3300935
Amapá,2013,734996
Amazonas,2013,3807921
Bahia,2013,15044137
Ceará,2013,8778576
Distrito Federal,2013,2789761
Espírito Santo,2013,3839366
Goiás,2013,6434048
Maranhão,2013,6794301
Mato Grosso,2013,3182113
Mato Grosso do Sul,2013,2587269
Minas Gerais,2013,20593356
Pará,2013,7969654
Paraíba,2013,3914421
Paraná,2013,10997465
Pernambuco,2013,9208550
Piauí,2013,3184166
Rio de Janeiro,2013,16369179
Rio Grande do Norte,2013,3373959
Rio Grande do Sul,2013,11164043
Rondônia,2013,1728214
Roraima,2013,488072
Santa Catarina,2013,6634254
São Paulo,2013,43663669
Sergipe,2013,2195662
Tocantins,2013,1478164
Acre,2014,790101
Alagoas,2014,3321730
Amapá,2014,750912
Amazonas,2014,3873743
Bahia,2014,15126371
Ceará,2014,8842791
Distrito Federal,2014,2852372
Espírito Santo,2014,3885049
Goiás,2014,6523222
Maranhão,2014,6850884
Mato Grosso,2014,3224357
Mato Grosso do Sul,2014,2619657
Minas Gerais,2014,20734097
Pará,2014,8073924
Paraíba,2014,3943885
Paraná,2014,11081692
Pernambuco,2014,9277727
Piauí,2014,3194718
Rio de Janeiro,2014,16461173
Rio Grande do Norte,2014,3408510
Rio Grande do Sul,2014,11207274
Rondônia,2014,1748531
Roraima,2014,496936
Santa Catarina,2014,6727148
São Paulo,2014,44035304
Sergipe,2014,2219574
Tocantins,2014,1496880
Acre,2015,803513
Alagoas,2015,3340932
Amapá,2015,766679
Amazonas,2015,3938336
Bahia,2015,15203334
Ceará,2015,8904459
Distrito Federal,2015,2914830
Espírito Santo,2015,3929911
Goiás,2015,6610681
Maranhão,2015,6904241
Mato Grosso,2015,3265486
Mato Grosso do Sul,2015,2651235
Minas Gerais,2015,20869101
Pará,2015,8175113
Paraíba,2015,3972202
Paraná,2015,11163018
Pernambuco,2015,9345173
Piauí,2015,3204028
Rio de Janeiro,2015,16550024
Rio Grande do Norte,2015,3442175
Rio Grande do Sul,2015,11247972
Rondônia,2015,1768204
Roraima,2015,505665
Santa Catarina,2015,6819190
São Paulo,2015,44396484
Sergipe,2015,2242937
Tocantins,2015,1515126
Acre,2016,816687
Alagoas,2016,3358963
Amapá,2016,782295
Amazonas,2016,4001667
Bahia,2016,15276566
Ceará,2016,8963663
Distrito Federal,2016,2977216
Espírito Santo,2016,3973697
Goiás,2016,6695855
Maranhão,2016,6954036
Mato Grosso,2016,3305531
Mato Grosso do Sul,2016,2682386
Minas Gerais,2016,20997560
Pará,2016,8272724
Paraíba,2016,3999415
Paraná,2016,11242720
Pernambuco,2016,9410336
Piauí,2016,3212180
Rio de Janeiro,2016,16635996
Rio Grande do Norte,2016,3474998
Rio Grande do Sul,2016,11286500
Rondônia,2016,1787279
Roraima,2016,514229
Santa Catarina,2016,6910553
São Paulo,2016,44749699
Sergipe,2016,2265779
Tocantins,2016,1532902
Acre,2017,829619
Alagoas,2017,3375823
Amapá,2017,797722
Amazonas,2017,4063614
Bahia,2017,15344447
Ceará,2017,9020460
Distrito Federal,2017,3039444
Espírito Santo,2017,4016356
Goiás,2017,6778772
Maranhão,2017,7000229
Mato Grosso,2017,3344544
Mato Grosso do Sul,2017,2713147
Minas Gerais,2017,21119536
Pará,2017,8366628
Paraíba,2017,4025558
Paraná,2017,11320892
Pernambuco,2017,9473266
Piauí,2017,3219257
Rio de Janeiro,2017,16718956
Rio Grande do Norte,2017,3507003
Rio Grande do Sul,2017,11322895
Rondônia,2017,1805788
Roraima,2017,522636
Santa Catarina,2017,7001161
São Paulo,2017,45094866
Sergipe,2017,2288116
Tocantins,2017,1550194
Acre,2018,869265
Alagoas,2018,3322820
Amapá,2018,829494
Amazonas,2018,4080611
Bahia,2018,14812617
Ceará,2018,9075649
Distrito Federal,2018,2974703
Espírito Santo,2018,3972388
Goiás,2018,6921161
Maranhão,2018,7035055
Mato Grosso,2018,3441998
Mato Grosso do Sul,2018,2748023
Minas Gerais,2018,21040662
Pará,2018,8513497
Paraíba,2018,3996496
Paraná,2018,11348937
Pernambuco,2018,9496294
Piauí,2018,3264531
Rio de Janeiro,2018,17159960
Rio Grande do Norte,2018,3479010
Rio Grande do Sul,2018,11329605
Rondônia,2018,1757589
Roraima,2018,576568
Santa Catarina,2018,7075494
São Paulo,2018,45538936
Sergipe,2018,2278308
Tocantins,2018,1555229
Acre,2019,881935
Alagoas,2019,3337357
Amapá,2019,845731
Amazonas,2019,4144597
Bahia,2019,14873064
Ceará,2019,9132078
Distrito Federal,2019,3015268
Espírito Santo,2019,4018650
Goiás,2019,7018354
Maranhão,2019,7075181
Mato Grosso,2019,3484466
Mato Grosso do Sul,2019,2778986
Minas Gerais,2019,21168791
Pará,2019,8602865
Paraíba,2019,4018127
Paraná,2019,11433957
Pernambuco,2019,9557071
Piauí,2019,3273227
Rio de Janeiro,2019,17264943
Rio Grande do Norte,2019,3506853
Rio Grande do Sul,2019,11377239
Rondônia,2019,1777225
Roraima,2019,605761
Santa Catarina,2019,7164788
São Paulo,2019,45919049
Sergipe,2019,2298696
Tocantins,2019,1572866
Acre,2020,881935
Alagoas,2020,3337357
Amapá,2020,845731
Amazonas,2020,4144597
Bahia,2020,14873064
Ceará,2020,9132078
Distrito Federal,2020,3015268
Espírito Santo,2020,4018650
Goiás,2020,7018354
Maranhão,2020,7075181
Mato Grosso,2020,3484466
Mato Grosso do Sul,2020,2778986
Minas Gerais,2020,21168791
Pará,2020,8602865
Paraíba,2020,4018127
Paraná,2020,11433957
Pernambuco,2020,9557071
Piauí,2020,3273227
Rio de Janeiro,2020,17264943
Rio Grande do Norte,2020,3506853
Rio Grande do Sul,2020,11377239
Rondônia,2020,1777225
Roraima,2020,605761
Santa Catarina,2020,7164788
São Paulo,2020,45919049
Sergipe,2020,2298696
Tocantins,2020,1572866
